char,prev_char,next_char,position,word_len,label
i,g,l,8,13,1
l,i,i,9,13,0
i,l,w,10,13,0
w,i,a,11,13,0
a,w,<END>,12,13,0
a,<START>,n,0,7,1
n,a,g,1,7,1
g,n,a,2,7,1
a,g,l,3,7,1
l,a,i,4,7,1
i,l,a,5,7,1
a,i,<END>,6,7,0
a,<START>,l,0,10,0
l,a,i,1,10,0
i,l,v,2,10,0
v,i,y,3,10,0
y,v,o,4,10,0
o,y,s,5,10,0
s,o,o,6,10,1
o,s,m,7,10,1
m,o,a,8,10,1
a,m,<END>,9,10,0
h,<START>,u,0,12,0
u,h,k,1,12,0
k,u,u,2,12,0
u,k,n,3,12,0
n,u,i,4,12,0
i,n,o,5,12,0
o,i,n,6,12,1
n,o,e,7,12,1
e,n,s,8,12,1
s,e,h,9,12,1
h,s,a,10,12,1
a,h,<END>,11,12,0
m,<START>,s,0,12,0
s,m,i,1,12,0
i,s,n,2,12,0
n,i,g,3,12,0
g,n,e,4,12,0
e,g,l,5,12,0
l,e,i,6,12,0
i,l,l,7,12,0
l,i,e,8,12,1
e,l,t,9,12,1
t,e,a,10,12,1
a,t,<END>,11,12,0
a,<START>,l,0,11,0
l,a,i,1,11,0
i,l,y,2,11,0
y,i,e,3,11,0
e,y,p,4,11,0
p,e,i,5,11,1
i,p,k,6,11,1
k,i,i,7,11,1
i,k,w,8,11,0
w,i,a,9,11,0
a,w,<END>,10,11,0
u,<START>,k,0,10,0
k,u,a,1,10,0
a,k,w,2,10,0
w,a,a,3,10,0
a,w,t,4,10,0
t,a,u,5,10,1
u,t,m,6,10,1
m,u,i,7,10,1
i,m,e,8,10,0
e,i,<END>,9,10,0
w,<START>,a,0,9,0
a,w,k,1,9,0
k,a,u,2,9,0
u,k,t,3,9,0
t,u,u,4,9,1
u,t,p,5,9,1
p,u,w,6,9,1
w,p,a,7,9,0
a,w,<END>,8,9,0
m,<START>,t,0,6,0
t,m,u,1,6,1
u,t,p,2,6,1
p,u,i,3,6,1
i,p,e,4,6,0
e,i,<END>,5,6,0
s,<START>,i,0,15,0
i,s,t,1,15,0
t,i,a,2,15,0
a,t,w,3,15,0
w,a,a,4,15,0
a,w,c,5,15,0
c,a,h,6,15,1
h,c,a,7,15,1
a,h,p,8,15,1
p,a,i,9,15,1
i,p,s,10,15,1
s,i,h,11,15,1
h,s,i,12,15,1
i,h,a,13,15,0
a,i,<END>,14,15,0
o,<START>,k,0,9,1
k,o,o,1,9,1
o,k,k,2,9,1
k,o,e,3,9,0
e,k,s,4,9,0
s,e,h,5,9,0
h,s,w,6,9,0
w,h,a,7,9,0
a,w,<END>,8,9,0
a,<START>,t,0,11,0
t,a,a,1,11,0
a,t,j,2,11,0
j,a,a,3,11,1
a,j,r,4,11,1
r,a,i,5,11,1
i,r,b,6,11,1
b,i,i,7,11,1
i,b,w,8,11,0
w,i,a,9,11,0
a,w,<END>,10,11,0
t,<START>,a,0,6,1
a,t,f,1,6,1
f,a,u,2,6,1
u,f,t,3,6,1
t,u,a,4,6,1
a,t,<END>,5,6,0
m,<START>,t,0,5,0
t,m,u,1,5,1
u,t,p,2,5,1
p,u,e,3,5,1
e,p,<END>,4,5,0
w,<START>,a,0,14,0
a,w,s,1,14,0
s,a,i,2,14,0
i,s,n,3,14,0
n,i,g,4,14,0
g,n,e,5,14,0
e,g,l,6,14,0
l,e,i,7,14,0
i,l,c,8,14,0
c,i,h,9,14,1
h,c,e,10,14,1
e,h,z,11,14,1
z,e,a,12,14,1
a,z,<END>,13,14,0
n,<START>,i,0,8,0
i,n,n,1,8,0
n,i,a,2,8,0
a,n,h,3,8,0
h,a,i,4,8,1
i,h,s,5,8,1
s,i,i,6,8,1
i,s,<END>,7,8,1
a,<START>,l,0,13,0
l,a,i,1,13,0
i,l,v,2,13,0
v,i,y,3,13,0
y,v,o,4,13,0
o,y,c,5,13,0
c,o,h,6,13,1
h,c,e,7,13,1
e,h,z,8,13,1
z,e,e,9,13,1
e,z,w,10,13,0
w,e,a,11,13,0
a,w,<END>,12,13,0
a,<START>,m,0,11,0
m,a,e,1,11,0
e,m,v,2,11,0
v,e,u,3,11,1
u,v,l,4,11,1
l,u,i,5,11,0
i,l,s,6,11,0
s,i,h,7,11,0
h,s,w,8,11,0
w,h,a,9,11,0
a,w,<END>,10,11,0
w,<START>,a,0,18,0
a,w,t,1,18,0
t,a,a,2,18,0
a,t,k,3,18,0
k,a,a,4,18,0
a,k,v,5,18,0
v,a,y,6,18,0
y,v,o,7,18,0
o,y,c,8,18,0
c,o,h,9,18,1
h,c,u,10,18,1
u,h,k,11,18,1
k,u,u,12,18,1
u,k,l,13,18,1
l,u,i,14,18,0
i,l,w,15,18,0
w,i,a,16,18,0
a,w,<END>,17,18,0
k,<START>,i,0,9,0
i,k,m,1,9,0
m,i,e,2,9,0
e,m,p,3,9,0
p,e,i,4,9,1
i,p,k,5,9,1
k,i,w,6,9,1
w,k,a,7,9,0
a,w,<END>,8,9,0
w,<START>,a,0,8,0
a,w,o,1,8,0
o,a,k,2,8,1
k,o,o,3,8,1
o,k,e,4,8,1
e,o,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
m,<START>,j,0,8,0
j,m,i,1,8,1
i,j,b,2,8,1
b,i,i,3,8,1
i,b,a,4,8,0
a,i,n,5,8,0
n,a,e,6,8,0
e,n,<END>,7,8,0
a,<START>,n,0,11,0
n,a,g,1,11,0
g,n,e,2,11,0
e,g,l,3,11,0
l,e,i,4,11,0
i,l,c,5,11,0
c,i,h,6,11,1
h,c,o,7,11,1
o,h,m,8,11,1
m,o,a,9,11,1
a,m,<END>,10,11,0
i,<START>,m,0,4,1
m,i,b,1,4,1
b,m,a,2,4,1
a,b,<END>,3,4,0
p,<START>,a,0,5,1
a,p,n,1,5,1
n,a,d,2,5,1
d,n,a,3,5,1
a,d,<END>,4,5,0
a,<START>,l,0,14,0
l,a,i,1,14,0
i,l,v,2,14,0
v,i,y,3,14,0
y,v,o,4,14,0
o,y,m,5,14,0
m,o,k,6,14,0
k,m,u,7,14,1
u,k,m,8,14,1
m,u,b,9,14,1
b,m,u,10,14,1
u,b,k,11,14,1
k,u,a,12,14,0
a,k,<END>,13,14,0
h,<START>,a,0,16,0
a,h,w,1,16,0
w,a,a,2,16,0
a,w,t,3,16,0
t,a,a,4,16,0
a,t,k,5,16,0
k,a,u,6,16,0
u,k,o,7,16,0
o,u,n,8,16,1
n,o,e,9,16,1
e,n,s,10,16,1
s,e,h,11,16,1
h,s,e,12,16,1
e,h,n,13,16,0
n,e,i,14,16,0
i,n,<END>,15,16,0
m,<START>,l,0,13,0
l,m,i,1,13,0
i,l,c,2,13,0
c,i,h,3,13,0
h,c,o,4,13,0
o,h,w,5,13,0
w,o,a,6,13,0
a,w,t,7,13,0
t,a,u,8,13,1
u,t,p,9,13,1
p,u,i,10,13,1
i,p,a,11,13,0
a,i,<END>,12,13,0
f,<START>,u,0,8,1
u,f,n,1,8,1
n,u,g,2,8,1
g,n,u,3,8,1
u,g,e,4,8,1
e,u,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
h,<START>,a,0,12,0
a,h,w,1,12,0
w,a,a,2,12,0
a,w,k,3,12,0
k,a,u,4,12,0
u,k,m,5,12,0
m,u,k,6,12,0
k,m,a,7,12,1
a,k,t,8,12,1
t,a,i,9,12,1
i,t,a,10,12,0
a,i,<END>,11,12,0
o,<START>,k,0,4,1
k,o,o,1,4,1
o,k,a,2,4,1
a,o,<END>,3,4,0
a,<START>,m,0,9,0
m,a,e,1,9,0
e,m,p,2,9,0
p,e,i,3,9,1
i,p,g,4,9,1
g,i,i,5,9,1
i,g,k,6,9,0
k,i,a,7,9,0
a,k,<END>,8,9,0
s,<START>,i,0,13,0
i,s,j,1,13,0
j,i,a,2,13,0
a,j,j,3,13,0
j,a,a,4,13,1
a,j,r,5,13,1
r,a,i,6,13,1
i,r,b,7,13,1
b,i,i,8,13,1
i,b,s,9,13,0
s,i,h,10,13,0
h,s,a,11,13,0
a,h,<END>,12,13,0
m,<START>,u,0,6,0
u,m,o,1,6,0
o,u,k,2,6,1
k,o,o,3,6,1
o,k,e,4,6,1
e,o,<END>,5,6,0
h,<START>,a,0,9,0
a,h,m,1,9,0
m,a,u,2,9,0
u,m,i,3,9,0
i,u,n,4,9,1
n,i,g,5,9,1
g,n,i,6,9,1
i,g,i,7,9,1
i,i,<END>,8,9,0
h,<START>,a,0,10,0
a,h,t,1,10,0
t,a,u,2,10,0
u,t,z,3,10,0
z,u,u,4,10,1
u,z,i,5,10,1
i,u,a,6,10,1
a,i,n,7,10,0
n,a,i,8,10,0
i,n,<END>,9,10,0
k,<START>,i,0,8,1
i,k,m,1,8,1
m,i,b,2,8,1
b,m,i,3,8,1
i,b,e,4,8,1
e,i,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
t,<START>,u,0,6,1
u,t,p,1,6,1
p,u,i,2,6,1
i,p,w,3,6,0
w,i,a,4,6,0
a,w,<END>,5,6,0
a,<START>,l,0,8,0
l,a,i,1,8,0
i,l,z,2,8,0
z,i,u,3,8,1
u,z,i,4,8,1
i,u,w,5,8,1
w,i,a,6,8,0
a,w,<END>,7,8,0
p,<START>,i,0,7,1
i,p,g,1,7,1
g,i,i,2,7,1
i,g,s,3,7,0
s,i,h,4,7,0
h,s,a,5,7,0
a,h,<END>,6,7,0
s,<START>,i,0,10,0
i,s,k,1,10,0
k,i,u,2,10,0
u,k,w,3,10,0
w,u,a,4,10,0
a,w,z,5,10,0
z,a,u,6,10,1
u,z,i,7,10,1
i,u,a,8,10,1
a,i,<END>,9,10,0
h,<START>,a,0,15,0
a,h,w,1,15,0
w,a,a,2,15,0
a,w,k,3,15,0
k,a,u,4,15,0
u,k,m,5,15,0
m,u,u,6,15,0
u,m,a,7,15,0
a,u,n,8,15,1
n,a,d,9,15,1
d,n,i,10,15,1
i,d,k,11,15,1
k,i,i,12,15,1
i,k,a,13,15,0
a,i,<END>,14,15,0
h,<START>,a,0,13,0
a,h,w,1,13,0
w,a,a,2,13,0
a,w,k,3,13,0
k,a,u,4,13,0
u,k,m,5,13,0
m,u,a,6,13,1
a,m,l,7,13,1
l,a,i,8,13,1
i,l,z,9,13,1
z,i,i,10,13,1
i,z,a,11,13,0
a,i,<END>,12,13,0
a,<START>,n,0,7,1
n,a,d,1,7,1
d,n,i,2,7,1
i,d,k,3,7,1
k,i,w,4,7,1
w,k,a,5,7,0
a,w,<END>,6,7,0
r,<START>,u,0,9,1
u,r,d,1,9,1
d,u,i,2,9,1
i,d,s,3,9,1
s,i,h,4,9,1
h,s,i,5,9,1
i,h,w,6,9,0
w,i,a,7,9,0
a,w,<END>,8,9,0
t,<START>,a,0,8,1
a,t,f,1,8,1
f,a,u,2,8,1
u,f,t,3,8,1
t,u,a,4,8,1
a,t,n,5,8,0
n,a,a,6,8,0
a,n,<END>,7,8,0
m,<START>,u,0,9,0
u,m,i,1,9,0
i,u,m,2,9,1
m,i,b,3,9,1
b,m,i,4,9,1
i,b,e,5,9,0
e,i,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
u,<START>,l,0,13,0
l,u,i,1,13,0
i,l,v,2,13,0
v,i,y,3,13,0
y,v,o,4,13,0
o,y,i,5,13,0
i,o,c,6,13,0
c,i,h,7,13,1
h,c,u,8,13,1
u,h,k,9,13,1
k,u,u,10,13,1
u,k,a,11,13,1
a,u,<END>,12,13,0
t,<START>,e,0,11,1
e,t,n,1,11,1
n,e,g,2,11,1
g,n,e,3,11,1
e,g,n,4,11,1
n,e,e,5,11,1
e,n,z,6,11,1
z,e,e,7,11,1
e,z,w,8,11,0
w,e,a,9,11,0
a,w,<END>,10,11,0
u,<START>,n,0,12,0
n,u,g,1,12,0
g,n,e,2,12,0
e,g,p,3,12,0
p,e,i,4,12,1
i,p,k,5,12,1
k,i,i,6,12,1
i,k,s,7,12,0
s,i,h,8,12,0
h,s,w,9,12,0
w,h,a,10,12,0
a,w,<END>,11,12,0
s,<START>,i,0,9,0
i,s,i,1,9,0
i,i,n,2,9,1
n,i,g,3,9,1
g,n,i,4,9,1
i,g,l,5,9,1
l,i,i,6,9,0
i,l,i,7,9,0
i,i,<END>,8,9,0
a,<START>,l,0,10,0
l,a,i,1,10,0
i,l,p,2,10,0
p,i,o,3,10,0
o,p,k,4,10,0
k,o,i,5,10,0
i,k,v,6,10,0
v,i,u,7,10,1
u,v,a,8,10,1
a,u,<END>,9,10,0
n,<START>,i,0,14,0
i,n,s,1,14,0
s,i,i,2,14,0
i,s,p,3,14,0
p,i,o,4,14,0
o,p,w,5,14,0
w,o,a,6,14,0
a,w,u,7,14,0
u,a,l,8,14,1
l,u,i,9,14,1
i,l,z,10,14,1
z,i,i,11,14,1
i,z,a,12,14,0
a,i,<END>,13,14,0
w,<START>,a,0,10,0
a,w,t,1,10,0
t,a,a,2,10,0
a,t,c,3,10,0
c,a,h,4,10,1
h,c,e,5,10,1
e,h,z,6,10,1
z,e,w,7,10,1
w,z,a,8,10,0
a,w,<END>,9,10,0
h,<START>,a,0,10,0
a,h,w,1,10,0
w,a,a,2,10,0
a,w,t,3,10,0
t,a,u,4,10,0
u,t,z,5,10,0
z,u,u,6,10,1
u,z,i,7,10,1
i,u,i,8,10,1
i,i,<END>,9,10,0
m,<START>,t,0,12,0
t,m,a,1,12,0
a,t,e,2,12,0
e,a,n,3,12,1
n,e,d,4,12,1
d,n,e,5,12,1
e,d,l,6,12,1
l,e,e,7,12,1
e,l,a,8,12,1
a,e,n,9,12,0
n,a,a,10,12,0
a,n,<END>,11,12,0
j,<START>,e,0,7,1
e,j,n,1,7,1
n,e,g,2,7,1
g,n,e,3,7,1
e,g,w,4,7,0
w,e,a,5,7,0
a,w,<END>,6,7,0
k,<START>,u,0,14,0
u,k,t,1,14,0
t,u,o,2,14,0
o,t,k,3,14,0
k,o,u,4,14,0
u,k,k,5,14,0
k,u,i,6,14,0
i,k,c,7,14,0
c,i,h,8,14,1
h,c,u,9,14,1
u,h,k,10,14,1
k,u,u,11,14,1
u,k,a,12,14,1
a,u,<END>,13,14,0
m,<START>,f,0,7,0
f,m,u,1,7,1
u,f,n,2,7,1
n,u,g,3,7,1
g,n,i,4,7,1
i,g,e,5,7,0
e,i,<END>,6,7,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,v,2,12,0
v,i,y,3,12,0
y,v,o,4,12,0
o,y,v,5,12,0
v,o,i,6,12,0
i,v,p,7,12,0
p,i,a,8,12,1
a,p,t,9,12,1
t,a,a,10,12,1
a,t,<END>,11,12,0
a,<START>,s,0,17,0
s,a,i,1,17,0
i,s,n,2,17,0
n,i,g,3,17,0
g,n,e,4,17,0
e,g,w,5,17,0
w,e,a,6,17,0
a,w,e,7,17,0
e,a,n,8,17,1
n,e,d,9,17,1
d,n,e,10,17,1
e,d,l,11,17,1
l,e,e,12,17,1
e,l,z,13,17,1
z,e,e,14,17,0
e,z,a,15,17,0
a,e,<END>,16,17,0
a,<START>,l,0,15,0
l,a,i,1,15,0
i,l,y,2,15,0
y,i,e,3,15,0
e,y,a,4,15,0
a,e,n,5,15,1
n,a,d,6,15,1
d,n,i,7,15,1
i,d,k,8,15,1
k,i,i,9,15,1
i,k,s,10,15,0
s,i,h,11,15,0
h,s,w,12,15,0
w,h,a,13,15,0
a,w,<END>,14,15,0
s,<START>,i,0,12,0
i,s,j,1,12,0
j,i,a,2,12,0
a,j,k,3,12,0
k,a,i,4,12,0
i,k,p,5,12,0
p,i,o,6,12,1
o,p,t,7,12,1
t,o,e,8,12,1
e,t,z,9,12,1
z,e,a,10,12,1
a,z,<END>,11,12,0
u,<START>,t,0,7,0
t,u,a,1,7,0
a,t,p,2,7,0
p,a,i,3,7,1
i,p,k,4,7,1
k,i,a,5,7,1
a,k,<END>,6,7,0
l,<START>,i,0,12,0
i,l,c,1,12,0
c,i,h,2,12,1
h,c,a,3,12,1
a,h,p,4,12,1
p,a,i,5,12,1
i,p,s,6,12,1
s,i,h,7,12,1
h,s,e,8,12,1
e,h,n,9,12,0
n,e,i,10,12,0
i,n,<END>,11,12,0
l,<START>,e,0,6,1
e,l,t,1,6,1
t,e,e,2,6,1
e,t,w,3,6,0
w,e,a,4,6,0
a,w,<END>,5,6,0
h,<START>,a,0,14,0
a,h,w,1,14,0
w,a,a,2,14,0
a,w,t,3,14,0
t,a,a,4,14,0
a,t,s,5,14,0
s,a,o,6,14,1
o,s,m,7,14,1
m,o,e,8,14,1
e,m,s,9,14,0
s,e,h,10,14,0
h,s,w,11,14,0
w,h,a,12,14,0
a,w,<END>,13,14,0
m,<START>,l,0,13,0
l,m,i,1,13,0
i,l,e,2,13,0
e,i,n,3,13,1
n,e,d,4,13,1
d,n,e,5,13,1
e,d,l,6,13,1
l,e,e,7,13,1
e,l,z,8,13,1
z,e,e,9,13,0
e,z,w,10,13,0
w,e,a,11,13,0
a,w,<END>,12,13,0
a,<START>,l,0,10,0
l,a,i,1,10,0
i,l,y,2,10,0
y,i,e,3,10,0
e,y,s,4,10,0
s,e,i,5,10,1
i,s,k,6,10,1
k,i,i,7,10,1
i,k,a,8,10,1
a,i,<END>,9,10,0
h,<START>,a,0,11,0
a,h,m,1,11,0
m,a,t,2,11,0
t,m,a,3,11,0
a,t,z,4,11,0
z,a,u,5,11,1
u,z,i,6,11,1
i,u,a,7,11,1
a,i,n,8,11,0
n,a,a,9,11,0
a,n,<END>,10,11,0
p,<START>,o,0,7,1
o,p,k,1,7,1
k,o,e,2,7,1
e,k,a,3,7,1
a,e,n,4,7,0
n,a,a,5,7,0
a,n,<END>,6,7,0
m,<START>,v,0,8,0
v,m,u,1,8,1
u,v,t,2,8,1
t,u,i,3,8,1
i,t,e,4,8,0
e,i,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
m,<START>,l,0,8,0
l,m,e,1,8,1
e,l,t,2,8,1
t,e,e,3,8,1
e,t,e,4,8,0
e,e,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
f,<START>,u,0,6,1
u,f,n,1,6,1
n,u,g,2,6,1
g,n,u,3,6,1
u,g,a,4,6,1
a,u,<END>,5,6,0
h,<START>,u,0,13,0
u,h,k,1,13,0
k,u,u,2,13,0
u,k,j,3,13,0
j,u,a,4,13,1
a,j,r,5,13,1
r,a,i,6,13,1
i,r,b,7,13,1
b,i,i,8,13,1
i,b,s,9,13,0
s,i,h,10,13,0
h,s,a,11,13,0
a,h,<END>,12,13,0
a,<START>,l,0,9,0
l,a,i,1,9,0
i,l,m,2,9,0
m,i,a,3,9,1
a,m,l,4,9,1
l,a,i,5,9,1
i,l,z,6,9,1
z,i,a,7,9,1
a,z,<END>,8,9,0
h,<START>,a,0,12,0
a,h,k,1,12,0
k,a,u,2,12,0
u,k,r,3,12,0
r,u,u,4,12,1
u,r,d,5,12,1
d,u,i,6,12,1
i,d,s,7,12,1
s,i,h,8,12,1
h,s,i,9,12,1
i,h,a,10,12,0
a,i,<END>,11,12,0
a,<START>,l,0,16,0
l,a,i,1,16,0
i,l,v,2,16,0
v,i,y,3,16,0
y,v,o,4,16,0
o,y,i,5,16,0
i,o,t,6,16,0
t,i,e,7,16,1
e,t,n,8,16,1
n,e,g,9,16,1
g,n,e,10,16,1
e,g,n,11,16,1
n,e,e,12,16,1
e,n,z,13,16,1
z,e,a,14,16,1
a,z,<END>,15,16,0
h,<START>,a,0,9,0
a,h,w,1,9,0
w,a,a,2,9,0
a,w,i,3,9,0
i,a,n,4,9,1
n,i,g,5,9,1
g,n,i,6,9,1
i,g,i,7,9,1
i,i,<END>,8,9,0
n,<START>,i,0,8,0
i,n,l,1,8,0
l,i,i,2,8,0
i,l,t,3,8,0
t,i,o,4,8,1
o,t,k,5,8,1
k,o,a,6,8,1
a,k,<END>,7,8,0
u,<START>,m,0,14,0
m,u,e,1,14,0
e,m,j,2,14,0
j,e,a,3,14,1
a,j,r,4,14,1
r,a,i,5,14,1
i,r,b,6,14,1
b,i,i,7,14,1
i,b,s,8,14,0
s,i,h,9,14,0
h,s,i,10,14,0
i,h,w,11,14,0
w,i,a,12,14,0
a,w,<END>,13,14,0
h,<START>,a,0,16,0
a,h,w,1,16,0
w,a,a,2,16,0
a,w,t,3,16,0
t,a,a,4,16,0
a,t,a,5,16,0
a,a,n,6,16,1
n,a,g,7,16,1
g,n,a,8,16,1
a,g,l,9,16,1
l,a,i,10,16,1
i,l,z,11,16,1
z,i,i,12,16,0
i,z,w,13,16,0
w,i,a,14,16,0
a,w,<END>,15,16,0
a,<START>,t,0,12,0
t,a,a,1,12,0
a,t,v,2,12,0
v,a,u,3,12,1
u,v,l,4,12,1
l,u,i,5,12,0
i,l,s,6,12,0
s,i,h,7,12,0
h,s,i,8,12,0
i,h,w,9,12,0
w,i,a,10,12,0
a,w,<END>,11,12,0
w,<START>,a,0,12,0
a,w,l,1,12,0
l,a,i,2,12,0
i,l,a,3,12,0
a,i,n,4,12,1
n,a,d,5,12,1
d,n,i,6,12,1
i,d,k,7,12,1
k,i,i,8,12,1
i,k,w,9,12,0
w,i,a,10,12,0
a,w,<END>,11,12,0
s,<START>,i,0,7,0
i,s,t,1,7,0
t,i,a,2,7,0
a,t,k,3,7,0
k,a,a,4,7,1
a,k,a,5,7,1
a,a,<END>,6,7,0
w,<START>,a,0,11,0
a,w,t,1,11,0
t,a,a,2,11,1
a,t,f,3,11,1
f,a,u,4,11,1
u,f,t,5,11,1
t,u,i,6,11,1
i,t,e,7,11,0
e,i,n,8,11,0
n,e,i,9,11,0
i,n,<END>,10,11,0
k,<START>,i,0,11,1
i,k,m,1,11,1
m,i,b,2,11,1
b,m,i,3,11,1
i,b,z,4,11,1
z,i,a,5,11,0
a,z,n,6,11,0
n,a,e,7,11,0
e,n,n,8,11,0
n,e,i,9,11,0
i,n,<END>,10,11,0
a,<START>,s,0,10,0
s,a,i,1,10,0
i,s,n,2,10,0
n,i,g,3,10,0
g,n,e,4,10,0
e,g,k,5,10,0
k,e,u,6,10,0
u,k,l,7,10,0
l,u,a,8,10,1
a,l,<END>,9,10,0
a,<START>,l,0,13,0
l,a,i,1,13,0
i,l,p,2,13,0
p,i,o,3,13,0
o,p,j,4,13,0
j,o,a,5,13,1
a,j,r,6,13,1
r,a,i,7,13,1
i,r,b,8,13,1
b,i,i,9,13,1
i,b,w,10,13,0
w,i,a,11,13,0
a,w,<END>,12,13,0
m,<START>,s,0,11,0
s,m,i,1,11,0
i,s,t,2,11,0
t,i,u,3,11,0
u,t,t,4,11,0
t,u,a,5,11,1
a,t,f,6,11,1
f,a,u,7,11,1
u,f,t,8,11,1
t,u,e,9,11,1
e,t,<END>,10,11,0
s,<START>,i,0,6,1
i,s,m,1,6,1
m,i,a,2,6,1
a,m,m,3,6,1
m,a,a,4,6,1
a,m,<END>,5,6,0
c,<START>,h,0,9,1
h,c,a,1,9,1
a,h,p,2,9,1
p,a,i,3,9,1
i,p,s,4,9,1
s,i,h,5,9,1
h,s,w,6,9,1
w,h,a,7,9,0
a,w,<END>,8,9,0
v,<START>,u,0,9,1
u,v,l,1,9,1
l,u,i,2,9,0
i,l,a,3,9,0
a,i,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
s,<START>,i,0,10,0
i,s,k,1,10,0
k,i,u,2,10,0
u,k,a,3,10,0
a,u,n,4,10,1
n,a,d,5,10,1
d,n,i,6,10,1
i,d,k,7,10,1
k,i,a,8,10,1
a,k,<END>,9,10,0
a,<START>,m,0,8,0
m,a,e,1,8,0
e,m,m,2,8,0
m,e,h,3,8,0
h,m,i,4,8,1
i,h,s,5,8,1
s,i,i,6,8,1
i,s,<END>,7,8,1
k,<START>,u,0,8,0
u,k,l,1,8,0
l,u,i,2,8,1
i,l,s,3,8,0
s,i,h,4,8,0
h,s,w,5,8,0
w,h,a,6,8,0
a,w,<END>,7,8,0
a,<START>,s,0,14,0
s,a,i,1,14,0
i,s,n,2,14,0
n,i,g,3,14,0
g,n,e,4,14,0
e,g,l,5,14,0
l,e,i,6,14,0
i,l,h,7,14,0
h,i,a,8,14,1
a,h,r,9,14,1
r,a,i,10,14,1
i,r,b,11,14,1
b,i,u,12,14,1
u,b,<END>,13,14,0
s,<START>,i,0,14,0
i,s,k,1,14,0
k,i,u,2,14,0
u,k,m,3,14,0
m,u,s,4,14,0
s,m,i,5,14,1
i,s,m,6,14,1
m,i,a,7,14,1
a,m,m,8,14,1
m,a,i,9,14,1
i,m,s,10,14,0
s,i,h,11,14,0
h,s,a,12,14,0
a,h,<END>,13,14,0
s,<START>,i,0,9,0
i,s,m,1,9,0
m,i,p,2,9,0
p,m,o,3,9,1
o,p,t,4,9,1
t,o,e,5,9,1
e,t,z,6,9,1
z,e,i,7,9,1
i,z,<END>,8,9,0
k,<START>,i,0,8,0
i,k,l,1,8,0
l,i,i,2,8,1
i,l,l,3,8,0
l,i,i,4,8,0
i,l,w,5,8,0
w,i,a,6,8,0
a,w,<END>,7,8,0
a,<START>,l,0,10,0
l,a,i,1,10,0
i,l,p,2,10,0
p,i,o,3,10,0
o,p,t,4,10,0
t,o,o,5,10,1
o,t,k,6,10,1
k,o,e,7,10,1
e,k,a,8,10,0
a,e,<END>,9,10,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,c,2,12,0
c,i,h,3,12,0
h,c,o,4,12,0
o,h,n,5,12,0
n,o,i,6,12,0
i,n,j,7,12,0
j,i,i,8,12,1
i,j,b,9,12,1
b,i,u,10,12,1
u,b,<END>,11,12,0
m,<START>,j,0,10,0
j,m,a,1,10,1
a,j,r,2,10,1
r,a,i,3,10,1
i,r,b,4,10,1
b,i,i,5,10,1
i,b,e,6,10,0
e,i,n,7,10,0
n,e,i,8,10,0
i,n,<END>,9,10,0
p,<START>,o,0,6,1
o,p,t,1,6,1
t,o,e,2,6,1
e,t,z,3,6,1
z,e,a,4,6,1
a,z,<END>,5,6,0
h,<START>,i,0,4,1
i,h,s,1,4,1
s,i,i,2,4,1
i,s,<END>,3,4,1
h,<START>,a,0,12,0
a,h,w,1,12,0
w,a,a,2,12,0
a,w,k,3,12,0
k,a,u,4,12,0
u,k,k,5,12,0
k,u,u,6,12,0
u,k,t,7,12,0
t,u,u,8,12,1
u,t,p,9,12,1
p,u,a,10,12,1
a,p,<END>,11,12,0
t,<START>,e,0,12,1
e,t,n,1,12,1
n,e,g,2,12,1
g,n,e,3,12,1
e,g,n,4,12,1
n,e,e,5,12,1
e,n,z,6,12,1
z,e,e,7,12,1
e,z,s,8,12,0
s,e,h,9,12,0
h,s,a,10,12,0
a,h,<END>,11,12,0
s,<START>,i,0,5,1
i,s,k,1,5,1
k,i,i,2,5,1
i,k,a,3,5,1
a,i,<END>,4,5,0
t,<START>,u,0,12,0
u,t,l,1,12,0
l,u,i,2,12,0
i,l,w,3,12,0
w,i,a,4,12,0
a,w,c,5,12,0
c,a,h,6,12,1
h,c,u,7,12,1
u,h,k,8,12,1
k,u,u,9,12,1
u,k,a,10,12,1
a,u,<END>,11,12,0
m,<START>,l,0,15,0
l,m,i,1,15,0
i,l,c,2,15,0
c,i,h,3,15,0
h,c,o,4,15,0
o,h,r,5,15,0
r,o,u,6,15,1
u,r,d,7,15,1
d,u,i,8,15,1
i,d,s,9,15,1
s,i,h,10,15,1
h,s,i,11,15,1
i,h,w,12,15,0
w,i,a,13,15,0
a,w,<END>,14,15,0
j,<START>,i,0,8,1
i,j,b,1,8,1
b,i,i,2,8,1
i,b,s,3,8,0
s,i,h,4,8,0
h,s,w,5,8,0
w,h,a,6,8,0
a,w,<END>,7,8,0
s,<START>,i,0,11,0
i,s,k,1,11,0
k,i,u,2,11,0
u,k,k,3,11,0
k,u,u,4,11,1
